"";"x"
"1";"ENSMUSG00000000001"
"2";"ENSMUSG00000000003"
"3";"ENSMUSG00000000028"
"4";"ENSMUSG00000000031"
"5";"ENSMUSG00000000037"
"6";"ENSMUSG00000000049"
"7";"ENSMUSG00000000056"
"8";"ENSMUSG00000000058"
"9";"ENSMUSG00000000078"
"10";"ENSMUSG00000000085"
"11";"ENSMUSG00000000088"
"12";"ENSMUSG00000000093"
"13";"ENSMUSG00000000094"
"14";"ENSMUSG00000000103"
"15";"ENSMUSG00000000120"
"16";"ENSMUSG00000000125"
"17";"ENSMUSG00000000126"
"18";"ENSMUSG00000000127"
"19";"ENSMUSG00000000131"
"20";"ENSMUSG00000000134"
"21";"ENSMUSG00000000142"
"22";"ENSMUSG00000000148"
"23";"ENSMUSG00000000149"
"24";"ENSMUSG00000000154"
"25";"ENSMUSG00000000157"
"26";"ENSMUSG00000000159"
"27";"ENSMUSG00000000167"
"28";"ENSMUSG00000000168"
"29";"ENSMUSG00000000171"
"30";"ENSMUSG00000000182"
"31";"ENSMUSG00000000183"
"32";"ENSMUSG00000000184"
"33";"ENSMUSG00000000194"
"34";"ENSMUSG00000000197"
"35";"ENSMUSG00000000202"
"36";"ENSMUSG00000000204"
"37";"ENSMUSG00000000214"
"38";"ENSMUSG00000000215"
"39";"ENSMUSG00000000216"
"40";"ENSMUSG00000000223"
"41";"ENSMUSG00000000244"
"42";"ENSMUSG00000000247"
"43";"ENSMUSG00000000248"
"44";"ENSMUSG00000000253"
"45";"ENSMUSG00000000263"
"46";"ENSMUSG00000000266"
"47";"ENSMUSG00000000275"
"48";"ENSMUSG00000000276"
"49";"ENSMUSG00000000278"
"50";"ENSMUSG00000000282"
"51";"ENSMUSG00000000290"
"52";"ENSMUSG00000000295"
"53";"ENSMUSG00000000296"
"54";"ENSMUSG00000000301"
"55";"ENSMUSG00000000303"
"56";"ENSMUSG00000000305"
"57";"ENSMUSG00000000308"
"58";"ENSMUSG00000000317"
"59";"ENSMUSG00000000318"
"60";"ENSMUSG00000000320"
"61";"ENSMUSG00000000325"
"62";"ENSMUSG00000000326"
"63";"ENSMUSG00000000339"
"64";"ENSMUSG00000000340"
"65";"ENSMUSG00000000346"
"66";"ENSMUSG00000000355"
"67";"ENSMUSG00000000359"
"68";"ENSMUSG00000000365"
"69";"ENSMUSG00000000374"
"70";"ENSMUSG00000000378"
"71";"ENSMUSG00000000381"
"72";"ENSMUSG00000000384"
"73";"ENSMUSG00000000385"
